Seed,Ratio Test,K,Accuracy
69,0.3,7,0.75
70,0.1,3,0.4375
70,0.1,5,0.625
70,0.1,7,0.625
70,0.2,3,0.625
70,0.2,5,0.75
70,0.2,7,0.71875
70,0.25,3,0.675
70,0.25,5,0.75
70,0.25,7,0.75
70,0.3,3,0.75
70,0.3,5,0.7083333333333334
70,0.3,7,0.7291666666666666
71,0.1,3,0.625
71,0.1,5,0.75
71,0.1,7,0.75
71,0.2,3,0.65625
71,0.2,5,0.71875
71,0.2,7,0.75
71,0.25,3,0.675
71,0.25,5,0.7
71,0.25,7,0.75
71,0.3,3,0.6458333333333334
71,0.3,5,0.6666666666666666
71,0.3,7,0.6875
72,0.1,3,0.6875
72,0.1,5,0.625
72,0.1,7,0.75
72,0.2,3,0.59375
72,0.2,5,0.65625
72,0.2,7,0.65625
72,0.25,3,0.575
72,0.25,5,0.575
72,0.25,7,0.6
72,0.3,3,0.5
72,0.3,5,0.5416666666666666
72,0.3,7,0.5416666666666666
73,0.1,3,0.4375
73,0.1,5,0.5
73,0.1,7,0.625
73,0.2,3,0.59375
73,0.2,5,0.6875
73,0.2,7,0.75
73,0.25,3,0.65
73,0.25,5,0.725
73,0.25,7,0.8
73,0.3,3,0.6458333333333334
73,0.3,5,0.6875
73,0.3,7,0.7083333333333334
74,0.1,3,0.5625
74,0.1,5,0.5625
74,0.1,7,0.625
74,0.2,3,0.59375
74,0.2,5,0.5625
74,0.2,7,0.65625
74,0.25,3,0.65
74,0.25,5,0.625
74,0.25,7,0.7
74,0.3,3,0.6666666666666666
74,0.3,5,0.6875
74,0.3,7,0.7083333333333334
75,0.1,3,0.6875
75,0.1,5,0.8125
75,0.1,7,0.75
75,0.2,3,0.71875
75,0.2,5,0.75
75,0.2,7,0.71875
75,0.25,3,0.725
75,0.25,5,0.775
75,0.25,7,0.725
75,0.3,3,0.7083333333333334
75,0.3,5,0.7083333333333334
75,0.3,7,0.75
76,0.1,3,0.5625
76,0.1,5,0.5
76,0.1,7,0.8125
76,0.2,3,0.625
76,0.2,5,0.625
76,0.2,7,0.625
76,0.25,3,0.65
76,0.25,5,0.65
76,0.25,7,0.65
76,0.3,3,0.6666666666666666
76,0.3,5,0.6458333333333334
76,0.3,7,0.625
77,0.1,3,0.6875
77,0.1,5,0.6875
77,0.1,7,0.8125
77,0.2,3,0.53125
77,0.2,5,0.59375
77,0.2,7,0.625
77,0.25,3,0.55
77,0.25,5,0.625
77,0.25,7,0.65
77,0.3,3,0.5833333333333334
77,0.3,5,0.6666666666666666
77,0.3,7,0.6666666666666666
78,0.1,3,0.625
78,0.1,5,0.75
78,0.1,7,0.8125
78,0.2,3,0.5625
78,0.2,5,0.5625
78,0.2,7,0.53125
78,0.25,3,0.6
78,0.25,5,0.625
78,0.25,7,0.575
78,0.3,3,0.625
78,0.3,5,0.625
78,0.3,7,0.5833333333333334
79,0.1,3,0.5625
79,0.1,5,0.6875
79,0.1,7,0.6875
79,0.2,3,0.5625
79,0.2,5,0.6875
79,0.2,7,0.75
79,0.25,3,0.575
79,0.25,5,0.675
79,0.25,7,0.725
79,0.3,3,0.5833333333333334
79,0.3,5,0.7083333333333334
79,0.3,7,0.75
80,0.1,3,0.625
80,0.1,5,0.6875
80,0.1,7,0.6875
80,0.2,3,0.59375
80,0.2,5,0.59375
80,0.2,7,0.6875
80,0.25,3,0.65
80,0.25,5,0.625
80,0.25,7,0.65
80,0.3,3,0.5833333333333334
80,0.3,5,0.5833333333333334
80,0.3,7,0.5833333333333334
81,0.1,3,0.8125
81,0.1,5,0.625
81,0.1,7,0.75
81,0.2,3,0.71875
81,0.2,5,0.6875
81,0.2,7,0.71875
81,0.25,3,0.7
81,0.25,5,0.675
81,0.25,7,0.75
81,0.3,3,0.6666666666666666
81,0.3,5,0.6666666666666666
81,0.3,7,0.7291666666666666
82,0.1,3,0.6875
82,0.1,5,0.625
82,0.1,7,0.6875
82,0.2,3,0.5625
82,0.2,5,0.5625
82,0.2,7,0.625
82,0.25,3,0.625
82,0.25,5,0.6
82,0.25,7,0.625
82,0.3,3,0.625
82,0.3,5,0.6458333333333334
82,0.3,7,0.6041666666666666
83,0.1,3,0.625
83,0.1,5,0.625
83,0.1,7,0.75
83,0.2,3,0.59375
83,0.2,5,0.625
83,0.2,7,0.71875
83,0.25,3,0.625
83,0.25,5,0.625
83,0.25,7,0.725
83,0.3,3,0.6458333333333334
83,0.3,5,0.6666666666666666
83,0.3,7,0.7083333333333334
84,0.1,3,0.375
84,0.1,5,0.3125
84,0.1,7,0.25
84,0.2,3,0.5
84,0.2,5,0.5
84,0.2,7,0.46875
84,0.25,3,0.55
84,0.25,5,0.525
84,0.25,7,0.55
84,0.3,3,0.625
84,0.3,5,0.5833333333333334
84,0.3,7,0.625
85,0.1,3,0.6875
85,0.1,5,0.625
85,0.1,7,0.5
85,0.2,3,0.625
85,0.2,5,0.71875
85,0.2,7,0.625
85,0.25,3,0.575
85,0.25,5,0.65
85,0.25,7,0.625
85,0.3,3,0.6041666666666666
85,0.3,5,0.6666666666666666
85,0.3,7,0.6458333333333334
86,0.1,3,0.5625
86,0.1,5,0.6875
86,0.1,7,0.6875
86,0.2,3,0.65625
86,0.2,5,0.6875
86,0.2,7,0.71875
86,0.25,3,0.675
86,0.25,5,0.675
86,0.25,7,0.675
86,0.3,3,0.7083333333333334
86,0.3,5,0.6875
86,0.3,7,0.7083333333333334
87,0.1,3,0.5
87,0.1,5,0.5625
87,0.1,7,0.6875
87,0.2,3,0.625
87,0.2,5,0.6875
87,0.2,7,0.6875
87,0.25,3,0.6
87,0.25,5,0.65
87,0.25,7,0.6
87,0.3,3,0.6666666666666666
87,0.3,5,0.75
87,0.3,7,0.7291666666666666
88,0.1,3,0.625
88,0.1,5,0.6875
