Seed,Ratio Test,K,Accuracy
33,0.2,5,0.75
33,0.2,7,0.8125
33,0.3,3,0.6666666666666666
33,0.3,5,0.7083333333333334
33,0.3,7,0.7291666666666666
34,0.1,3,0.8125
34,0.1,5,0.9375
34,0.1,7,0.875
34,0.2,3,0.71875
34,0.2,5,0.8125
34,0.2,7,0.75
34,0.3,3,0.6875
34,0.3,5,0.7291666666666666
34,0.3,7,0.6666666666666666
35,0.1,3,0.75
35,0.1,5,0.75
35,0.1,7,0.75
35,0.2,3,0.65625
35,0.2,5,0.75
35,0.2,7,0.75
35,0.3,3,0.5833333333333334
35,0.3,5,0.5416666666666666
35,0.3,7,0.4791666666666667
36,0.1,3,0.8125
36,0.1,5,0.6875
36,0.1,7,0.75
36,0.2,3,0.78125
36,0.2,5,0.71875
36,0.2,7,0.75
36,0.3,3,0.7291666666666666
36,0.3,5,0.6666666666666666
36,0.3,7,0.6458333333333334
37,0.1,3,0.75
37,0.1,5,0.75
37,0.1,7,0.75
37,0.2,3,0.59375
37,0.2,5,0.6875
37,0.2,7,0.6875
37,0.3,3,0.6041666666666666
37,0.3,5,0.625
37,0.3,7,0.6458333333333334
38,0.1,3,0.75
38,0.1,5,0.75
38,0.1,7,0.75
38,0.2,3,0.65625
38,0.2,5,0.71875
38,0.2,7,0.75
38,0.3,3,0.7291666666666666
38,0.3,5,0.6875
38,0.3,7,0.7291666666666666
39,0.1,3,0.8125
39,0.1,5,0.8125
39,0.1,7,0.6875
39,0.2,3,0.6875
39,0.2,5,0.6875
39,0.2,7,0.6875
39,0.3,3,0.7291666666666666
39,0.3,5,0.7083333333333334
39,0.3,7,0.6875
40,0.1,3,0.8125
40,0.1,5,0.8125
40,0.1,7,0.8125
40,0.2,3,0.8125
40,0.2,5,0.78125
40,0.2,7,0.8125
40,0.3,3,0.75
40,0.3,5,0.7083333333333334
40,0.3,7,0.7291666666666666
41,0.1,3,0.5625
41,0.1,5,0.625
41,0.1,7,0.5625
41,0.2,3,0.625
41,0.2,5,0.6875
41,0.2,7,0.65625
41,0.3,3,0.6875
41,0.3,5,0.6875
41,0.3,7,0.6666666666666666
42,0.1,3,0.875
42,0.1,5,0.8125
42,0.1,7,0.8125
42,0.2,3,0.78125
42,0.2,5,0.8125
42,0.2,7,0.75
42,0.3,3,0.75
42,0.3,5,0.75
42,0.3,7,0.7708333333333334
43,0.1,3,0.6875
43,0.1,5,0.75
43,0.1,7,0.75
43,0.2,3,0.71875
43,0.2,5,0.75
43,0.2,7,0.75
43,0.3,3,0.7083333333333334
43,0.3,5,0.7916666666666666
43,0.3,7,0.7291666666666666
44,0.1,3,0.5
44,0.1,5,0.6875
44,0.1,7,0.6875
